autore,testo
Marco R.,"Soggiorno meraviglioso. Camera pulitissima, colazione abbondante e personale gentile. Torneremo di sicuro!"
Giulia P.,"Posizione perfetta, a due passi dal centro storico. Tutto comodo a piedi. Consigliato."
Andrea T.,"La colazione e' il punto forte: dolci fatti in casa e caffe' ottimo. Camera un po' piccola ma va bene."
Francesca M.,"Esperienza pessima. Ho trovato una macchia sospetta sulle lenzuola e quando l'ho fatto notare mi hanno trattata male. Pretendo il rimborso totale o vi segnalo ovunque e sento il mio avvocato."
Luca B.,"Bel posto, tranquillo. Il parcheggio pero' e' lontano e scomodo. Nel complesso ok."
Sara D.,"Camera spaziosa e luminosa, letto comodissimo. Mi sono riposata benissimo."
Paolo V.,"La posizione e' fantastica e la colazione ottima, ma il rumore della strada di notte e' insopportabile, non ho chiuso occhio. Non so se tornerei."
Elena F.,"Tutto perfetto, dalla pulizia all'accoglienza. Un piccolo gioiello."
Davide S.,"Prezzo onesto per quello che offre. Niente di lussuoso ma pulito e funzionale."
Chiara L.,"Personale gentilissimo, ci hanno consigliato i ristoranti migliori della zona. Grazie di cuore."
Roberto G.,"Camera ok ma niente di speciale per il prezzo che ho pagato. Mi aspettavo di piu'."
Martina C.,"Colazione scarsa, poca scelta e cornetti confezionati. La camera invece era pulita."
Simone P.,"Esperienza vergognosa: mia figlia ha avuto una reazione allergica che secondo me e' dovuta alla scarsa pulizia della stanza. Sto valutando azioni legali."
Alessia R.,"Bellissima vista dalla terrazza, colazione servita proprio li'. Un sogno al mattino."
Federico N.,"Avevo prenotato e pagato, all'arrivo nessuna camera disponibile. Mi hanno lasciato in strada. Rivoglio i miei soldi immediatamente."
Valentina M.,"Accoglienza calorosa e camera curata nei dettagli. Ci siamo sentiti a casa."
Giorgio T.,"La doccia perdeva e il phon non funzionava. Segnalato, ma nessuno e' intervenuto durante il soggiorno."
Beatrice S.,"Posizione comoda per la stazione. Camera essenziale ma pulita. Rapporto qualita'-prezzo buono."
Matteo D.,"Colazione da dieci e lode, personale squisito. Unica pecca le pareti sottili, si sente tutto."
Ilaria F.,"Soggiorno gradevole. Forse il bagno andrebbe rinnovato, ma per il resto promosso."
Stefano B.,"Tutto bene fino al check out, quando mi hanno addebitato spese mai concordate. Voglio chiarimenti subito o procedo con una contestazione formale alla carta."
Camilla V.,"Camera deliziosa con vista sui tetti. Silenzioso e rilassante. Lo consiglio agli innamorati."
Antonio L.,"Niente di che. Pulizia appena sufficiente, colazione anonima. Per una notte va bene."
Serena P.,"Personale disponibilissimo, check in flessibile. Camera pulita e profumata. Top."
Nicola R.,"Posizione un po' decentrata ma molto tranquilla. Bene per chi cerca riposo."
Greta M.,"La colazione era ottima ma il personale alla reception sembrava infastidito dalle mie domande. Sensazioni contrastanti."
Tommaso G.,"Pulito, accogliente, prezzo giusto. Tornero' senza pensarci."
Aurora S.,"Camera fredda, il riscaldamento non andava bene. Per il resto carino e ben posizionato."
Emanuele T.,"Colazione ricca, posizione ottima, personale gentile. Una bella sorpresa a questo prezzo."
Lucia F.,"Soggiorno tranquillo e piacevole. Consigliato a famiglie, c'e' spazio per i bambini."
